_id,name,info,cat,purchases_Y15/M07,purchases_Y15/M08,purchases_Y15/M09,purchases_Y15/M10,purchases_Y15/M11
0005-000037-0005031-0060,Red Quilted Puffer Jacket,"Warmth and comfort collide with style in this cute puffer jacket. Stuffed with a warm lining and given a quilted design, this jacket fits perfectly over sweaters. 
			4 front zip pockets
			Snap collar
			Shell: 100% nylon; Lining: 100% polyester; Padding: 100% polyester
			Hand wash 
			Model wears size Small
			Imported
			STYLE: 0005-000037-0005031","[""girls"",""jackets-and-coats"",""parkas-and-puffer-jackets""]",,0,5,25,87
0011-000124-0001546-0081,Orange Cotton Blend Cami,"This jersey cotton blend cami shown in orange is a layering essential. Pair it with your favorite tops and accessories to create your own unique look.
			95% cotton, 5% spandex
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0011-000124-0001546","[""girls"",""tank-tops"",""casual""]",,18,132,8,0
0011-000124-0001570-0010,Killin It 01 Raglan Top,"Stay in the game and own it in this raglan top. The jersey knit fabric features a color block body with ""Killin' It 01"" at the left chest. 
			52% cotton, 23% rayon, 22% polyester, 3% spandex
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0011-000124-0001570","[""girls"",""tees"",""long-sleeve""]",,32,89,3,0
0044-000875-0003780-0064,Think Pink Color Split Top,"Raise awareness for a good cause in this long sleeved tee. Jersey knit with a color split pink and white design, featuring the text ""Think Pink"" over the heart and across the back. A portion of proceeds benefits breast cancer research.
			rue21 BCA product
			95% spun, 5% spandex
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0044-000875-0003780","[""girls"",""graphic-tees-and-tanks"",""graphic-long-sleeve-tees""]",,0,96,1,0
0066-000962-0002471-0036,Gusseted Camo Jogger,"When searching for comfort and style, look no further than the jogger pant. Crafted with a sturdy twill and featuring dark green camo print front panels. Complete with elastic ruched cuffs and waistband.
			2 front pockets; 2 back pockets
			Faux leather drawstring
			Approx. 10 in. leg opening
			Approx. 30 in. inseam
			98% cotton, 2% spandex
			Machine wash
			Model wears size Small
			Imported
			STYLE: 0066-000962-0002471","[""girls"",""joggers""]",,12,96,161,0
0079-000124-0003750,Multi Tribal Striped Legging,"A cute legging with multi tribal-inspired striped print. Elastic waistband.
			26 in. inseam
			95% cotton, 5% spandex
			Machine washable
			Model wears size Small
			Imported
			STYLE: 0079-000124-0003750","[""uncategorised""]",,0,0,0,0
0079-000124-0007500,Tribal Zig Zag Legging,"A trendy tribal-inspired zig zag print legging. Elastic waistband.
			26 in. inseam
			95% cotton, 5% spandex
			Machine washable
			Model wears size Small
			Imported
			STYLE: 0079-000124-0007500","[""uncategorised""]",,0,0,0,0
0079-000232-0003040,Tribal Stacked Legging,"A bright legging with a tribal-inspired stacked geo print. Elastic waistband.
			26 in. inseam
			95% cotton, 5% spandex
			Machine washable
			Model wears size Small
			Imported
			STYLE: 0079-000232-0003040","[""uncategorised""]",,0,0,0,0
0079-000868-0007922,Black Mixed Tribal Legging,"Bring out your wild side in this hot legging. Made from a stretchy, jersey knit and featuring a black tribal print with chevron elements.
			Approx. 8 in. leg opening
			Approx. 28 in. inseam
			Elastic waist
			95% cotton, 5% spandex
			Hand wash 
			Model wears size Small
			Imported
			STYLE: 0079-000868-0007922","[""uncategorised""]",,1,0,0,0
0079-001110-0002406,Black Crackle Tribal Legging,"A comfortable jersey knit legging featuring bold ""crackled"" tribal print. Paneled elastic waistband.
			Approx. 28"" inseam 
			95% polyester, 5% spandex
			Machine wash 
			Model wears size Small
			Imported
			STYLE: 0079-001110-0002406","[""uncategorised""]",,0,0,0,0
0079-001110-0007104,Geo Static Legging,"A vibrant legging with ""static"" fill geometric shapes print. Elastic waistband.
			26 in. inseam
			95% cotton, 5% spandex
			Machine washable
			Model wears size Small
			Imported
			STYLE: 0079-001110-0007104","[""uncategorised""]",,0,0,0,0
